,상호명,도로명주소,위도,경도
242,룽푸청마라탕,서울특별시 용산구 한강대로30길 25,37.52734848,126.9688419
243,야미마라탕,서울특별시 관악구 행운1길 132,37.48437555,126.9563165
244,탕화쿵푸마라탕,서울특별시 강서구 마곡중앙6로 63,37.56045423,126.8343737
245,라와마라탕,서울특별시 송파구 법원로4길 6,37.48230867,127.1220933
246,마라의,서울특별시 강동구 양재대로 1465,37.5368323,127.1392986
247,착한마라탕,서울특별시 동대문구 서울시립대로4길 23,37.57440814,127.048005
248,샹츠마라,서울특별시 도봉구 마들로11가길 15,37.65264633,127.0492396
249,유미마라탕미아,서울특별시 강북구 도봉로8길 37-1,37.61225933,127.0322998
250,신룽푸마라탕숭실대점,서울특별시 동작구 사당로 20,37.49512847,126.9566984
251,백미향마라탕명륜점,서울특별시 종로구 성균관로 73,37.58930471,126.9971445
252,소림마라금천,서울특별시 금천구 독산로 262,37.47010592,126.9029406
253,마라영웅,서울특별시 금천구 시흥대로122길 27,37.46935617,126.8998315
254,유미마라탕,서울특별시 광진구 능동로35길 35,37.55710512,127.0771432
255,맛짱마라탕,서울특별시 중랑구 망우로 275,37.59599582,127.0831179
256,다복향마라탕,서울특별시 양천구 목동동로 385,37.53588723,126.8794837
257,마라KIM마라탕방화점,서울특별시 강서구 양천로 85,37.57363315,126.8132593
258,탕화쿵푸마라탕,서울특별시 중구 을지로43길 34,37.56759679,127.0075895
259,라쿵푸마라탕,서울특별시 도봉구 노해로65길 11,37.65180168,127.0461792
260,애정훠궈,서울특별시 성북구 동소문로20나길 16,37.59201629,127.0174338
261,왕홍마라,서울특별시 양천구 은행정로7길 10,37.52236713,126.8583161
262,라1품마라탕,서울특별시 강남구 역삼로 135,37.49450925,127.0343526
263,탕라쿵부마라탕,서울특별시 송파구 마천로51길 33,37.49706884,127.1530548
264,마라식객,서울특별시 강남구 학동로6길 27,37.5104082,127.0250084
265,탕화쿵푸마라탕,서울특별시 구로구 개봉로23가길 30,37.49505383,126.8580309
266,중경마라탕,서울특별시 강남구 테헤란로1길 44,37.50124339,127.0270616
267,구구향훠궈,서울특별시 광진구 동일로18길 62,37.53899681,127.0660396
268,천이향마라탕,서울특별시 송파구 동남로6길 15,37.48905191,127.1249658
269,소림마라,서울특별시 강남구 봉은사로2길 21,37.50331705,127.0261186
270,하우마라탕,서울특별시 영등포구 도신로39길 19-1,37.51226805,126.9090088
271,신동방마라탕,서울특별시 종로구 종로44길 11,37.57081368,127.0108297
272,130마라탕,서울특별시 광진구 자양번영로 34,37.53269417,127.0758035
273,진마라탕,서울특별시 관악구 신림로23길 16,37.4704755,126.9344649
274,마라영웅,서울특별시 영등포구 영등포로35길 6,37.52059301,126.9040684
275,사천마라탕,서울특별시 서초구 동작대로 54-1,37.481439,126.9822384
276,취향마라,서울특별시 영등포구 여의대방로67길 22,37.52069549,126.9299841
277,마라홀릭양재역점,서울특별시 강남구 남부순환로359길 10,37.48570785,127.0367953
278,신연마라탕,서울특별시 성북구 화랑로13길 7,37.60374681,127.0425235
279,홍가마라,서울특별시 관악구 대학6길 51,37.469172,126.9348
280,마라일족,서울특별시 금천구 독산로35길 20,37.45824185,126.9042104
281,김사부꼬치꿔바로우,서울특별시 금천구 가산로 132,37.47726655,126.8920274
282,탕화쿵푸,서울특별시 성동구 사근동길 49,37.56094274,127.0464219
283,천궁전마라탕,서울특별시 서대문구 연세로5가길 3,37.55720758,126.9361738
284,마라하오,서울특별시 은평구 백련산로 177-25,37.60031964,126.9259456
285,하우마라탕,서울특별시 구로구 새말로 97,37.50703804,126.8902076
286,마라마라,서울특별시 동대문구 한천로 115,37.57169951,127.0653597
287,마라공방,서울특별시 송파구 올림픽로8길 20,37.51004753,127.0800191
288,라사천마라탕,서울특별시 금천구 디지털로12길 41,37.47709843,126.8904357
289,상츠마라성,서울특별시 성북구 삼선교로23가길 50,37.58931078,127.0117512
290,마수리마라탕,서울특별시 구로구 공원로 34,37.50042903,126.8916626
291,호아마라탕,서울특별시 동작구 동작대로7길 71,37.47778753,126.9788509
292,마라하오,서울특별시 성동구 행당로 79,37.55819328,127.0274874
293,춘리마라탕,서울특별시 강서구 공항대로59가길 10,37.55195175,126.8642931
294,신룽푸마라탕,서울특별시 동작구 흑석로 81,37.50705694,126.9585796
295,손오공마라탕,서울특별시 마포구 양화로18길 15,37.55658295,126.9249099
296,마부마라탕,서울특별시 구로구 디지털로 243,37.48198187,126.8923309
297,마라영웅,서울특별시 강서구 강서로45다길 68,37.54487145,126.8348879
298,대천부훠궈,서울특별시 영등포구 대림로 148,37.49434034,126.9005959
299,피슈마라홍탕,서울특별시 강서구 화곡로 158,37.54106641,126.8391905
300,하우마라탕,서울특별시 구로구 공원로7길 23-29,37.50060851,126.8887082
301,라사천마라탕,서울특별시 관악구 쑥고개로 89,37.47941357,126.9464811
302,신룽푸마라탕,서울특별시 마포구 월드컵북로54길 25,37.58208286,126.88897
303,화염마라탕,서울특별시 성북구 서경로 80,37.61047465,127.0148011
304,마라영웅마라탕.마라샹궈,서울특별시 양천구 은행정로7길 10,37.52236713,126.8583161
305,사천리훠궈,서울특별시 마포구 동교로 210,37.55862694,126.9237714
306,딘딘향마라탕,서울특별시 강남구 봉은사로33길 34,37.51023813,127.035021
307,춘리마라탕,서울특별시 은평구 연서로27길 37,37.6189305,126.9156078
308,먼슬리키친도미라마라탕7호,서울특별시 구로구 디지털로34길 27,37.48546077,126.8982045
309,도삭마라탕,서울특별시 송파구 백제고분로7길 8-8,37.51006282,127.0796682
310,마라전설,서울특별시 성동구 왕십리로 410,37.56654474,127.0240621
311,마라상하이,서울특별시 영등포구 도림로129길 2,37.51382547,126.8952878
312,신연마라탕,서울특별시 노원구 광운로 35,37.62068105,127.0586638
313,마라탕입구,서울특별시 관악구 남부순환로 1594-1,37.48376016,126.9278426
314,라사천마라탕,서울특별시 서초구 효령로31길 14,37.48195967,126.9967606
315,피슈마라홍탕이수역점,서울특별시 동작구 동작대로27가길 36,37.4860052,126.980944
316,호탕마라탕,서울특별시 서대문구 연세로7안길 14,37.55815243,126.9360359
317,황비홍마라탕,서울특별시 강서구 화곡로 416,37.55992122,126.8554116
318,마라하우스,서울특별시 영등포구 대림로29길 43,37.49376017,126.8953912
319,춘리마라탕강남,서울특별시 강남구 강남대로 438,37.50163375,127.0263214
320,마라천국,서울특별시 동대문구 장한로21길 11-4,37.56973711,127.069018
321,소림마라,서울특별시 강동구 양재대로124길 76,37.54217166,127.1462079
322,라이꺼마라탕,서울특별시 영등포구 대림로21길 14,37.49258655,126.899977
323,충칭마라탕,서울특별시 강서구 강서로47길 35,37.55266716,126.8341554
324,마라샤오반,서울특별시 중구 퇴계로87길 49-16,37.56787264,127.0201168
325,신미방마라탕,서울특별시 동대문구 회기로25길 16,37.59091028,127.0552342
326,세아마라탕,서울특별시 마포구 백범로 68,37.54895343,126.939109
327,마라영웅,서울특별시 관악구 참숯1길 19,37.47729533,126.9423615
328,피슈마라홍탕,서울특별시 양천구 목동서로 155,37.5299884,126.8750577
329,탕화쿵푸마라탕,서울특별시 성북구 동소문로20나길 27,37.59248161,127.0181297
330,신룽푸마라탕,서울특별시 강남구 논현로 841,37.52417295,127.0278839
331,중경마라탕,서울특별시 서초구 서초대로77길 9,37.4985782,127.0262027
332,마라순코우,서울특별시 광진구 뚝섬로 541,37.53489495,127.0703452
333,탕화쿵푸대방점,서울특별시 동작구 보라매로 113,37.49945676,126.9278783
334,라와마라탕,서울특별시 강북구 도봉로10길 32,37.61412372,127.0311089
335,허씨마라회향,서울특별시 광진구 동일로18길 84,37.53847391,127.0671438
336,세향마라탕,서울특별시 강동구 천호대로155길 11,37.5385905,127.1259601
337,칠기마라샹궈마라탕,서울특별시 동작구 흑석로13가길 43,37.50742659,126.9596263
338,마라이쉔,서울특별시 강동구 천중로 89,37.54475255,127.1319085
339,소백양훠궈,서울특별시 관악구 난곡로 322,37.48281902,126.9145705
340,중경해선훠궈,서울특별시 강동구 천호옛길 94-6,37.53678063,127.1261283
341,백미향마라탕,서울특별시 성북구 동소문로22길 57-4,37.59051401,127.0188123
